,,,,,National Accounts,National accounts,National accounts,National accounts,National accounts,,Government Finance,Government finance,Government finance,,Prices (CPI),Prices,,Balance of Payments,Balance of Payments
IMF Code,ISO Code,Country,Currency,,Historical Data Source 1/,Latest Actual Data,Base Year 2/,Reporting Period 3/,Use of Chain-Weighted Methodology 4/,,Historical Data Source 1/,Latest Actual Data,Reporting Period 3/,,Historical Data Source 1/,Latest Actual Data,,Historical Data Source 1/,Latest Actual Data
362,LCA,St. Lucia,Eastern Caribbean dollar,,NSO,2013,2006,,,,MoF,2012/13,Apr/Mar,,NSO,2013,,CB,2013
364,VCT,St. Vincent and the Grenadines,Eastern Caribbean dollar,,NSO,2013,2006 5/,,,,MoF,2013,,,NSO,2013,,CB,2013
732,SDN,Sudan,Sudanese pound,,NSO,2010,2008,,,,MoF,2011,,,NSO,2010,,CB,2011
366,SUR,Suriname,Surinamese dollar,,NSO,2011,2007,,,,MoF,2012,,,NSO,2013,,CB,2012
734,SWZ,Swaziland,Swaziland lilangeni,,NSO,2009,2000,,,,MoF,2011/12,Apr/Mar,,NSO,2012,,CB,2010
144,SWE,Sweden,Swedish krona,,NSO,2012,2012,,From 1993,,MoF,2012,,,NSO,2013,,NSO,2012
146,CHE,Switzerland,Swiss franc,,NSO,2013,2005,,From 1980,,MoF,2011,,,NSO,2013,,CB,2012
463,SYR,Syria,Syrian pound,,NSO,2010,2000,,,,MoF,2009,,,NSO,2011,,CB,2009
528,TWN,Taiwan Province of China,New Taiwan dollar,,NSO,2013,2006,,,,MoF,2012,,,NSO,2013,,CB,2013
923,TJK,Tajikistan,Tajik somoni,,NSO,2012,1995,,,,MoF,2012,,,NSO,2012,,CB,2011
738,TZA,Tanzania,Tanzania shilling,,NSO,2012,2001,,,,MoF,2012/13,Jul/Jun,,NSO,2013,,CB,2011
578,THA,Thailand,Thai baht,,NSO,2013,1988,,,,MoF,2012/13,Oct/Sep,,NSO,2013,,CB,2013
537,TLS,Timor-Leste,U.S. dollar,,MoF,2011,2010 5/,,,,MoF,2012,,,NSO,2012,,CB,2012
742,TGO,Togo,CFA franc,,NSO,2012,2000,,,,MoF,2013,,,NSO,2013,,CB,2012
866,TON,Tonga,Tongan pa’anga,,CB,2012,2010/11,Jul/Jun,,,CB and MoF,2012,Jul/Jun,,CB,2012,,CB and NSO,2012
369,TTO,Trinidad and Tobago,Trinidad and Tobago dollar,,NSO,2011,2000,,,,MoF,2012/13,Oct/Sep,,NSO,2013,,CB and NSO,2011
744,TUN,Tunisia,Tunisian dinar,,NSO,2012,2005,,From 2009,,MoF,2012,,,NSO,2012,,CB,2012
186,TUR,Turkey,Turkish lira,,NSO,2012,1998,,,,MoF,2013,,,NSO,2013,,CB,2013
925,TKM,Turkmenistan,New Turkmen manat,,NSO and IMF staff,2012,2005,,From 2000,,MoF,2012,,,NSO,2012,,NSO and IMF staff,2012
869,TUV,Tuvalu,Australian dollar,,PFTAC advisors,2012,2005,,,,IMF staff,2012,,,NSO,2012,,PFTAC advisors,2012
746,UGA,Uganda,Uganda shilling,,NSO,2013,2002,,,,MoF,2013,,,CB,2013/14,,CB,2013
926,UKR,Ukraine,Ukrainian hryvnia,,State Statistics Committee,2013,2007,,From 2005,,MoF,2013,,,NSO,2013,,CB,2013
466,ARE,United Arab Emirates,U.A.E. dirham,,NSO,2012,2007,,,,MoF,2012,,,NSO,2012,,CB,2012
112,GBR,United Kingdom,Pound sterling,,NSO,2013,2010,,From 1980,,NSO,2012,,,NSO,2013,,NSO,2013
111,USA,United States,U.S. dollar,,NSO,2013,2009,,From 1980,,BEA,2013,,,NSO,2013,,NSO,2013
298,URY,Uruguay,Uruguayan peso,,CB,2012,2005,,,,MoF,2012,,,NSO,2013,,CB,2012
927,UZB,Uzbekistan,Uzbek sum,,NSO,2012,1995,,,,MoF,2012,,,NSO,2012,,MEP,2012
846,VUT,Vanuatu,Vanuatu vatu,,NSO,2012,2006,,,,MoF,2012,,,NSO,2012,,CB,2012
299,VEN,Venezuela,Venezuelan bolívar fuerte,,CB,2010,1997,,,,MoF,2010,,,CB,2010,,CB,2012
582,VNM,Vietnam,Vietnamese dong,,NSO,2013,2010,,,,MoF,2013,,,NSO,2013,,CB,2012
474,YEM,Yemen,Yemeni rial,,IMF staff,2008,1990,,,,MoF,2009,,,NSO and CB,2009,,IMF staff,2009
754,ZMB,Zambia,Zambian kwacha,,NSO,2013,2000,,,,MoF,2013,,,NSO,2013,,CB,2013
698,ZWE,Zimbabwe,U.S. dollar,,NSO,2012,2009,,,,MoF,2012,,,NSO,2013,,CB and MoF,2012
