Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980]
St. Kitts and Nevis,KNA,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,..,3.18160495438661,3.62384146436696,3.70041358582585,4.32134203372273,4.824227911913,4.05448362989791,3.96976836598634,4.09717231061756,3.94702435764702,5.20643100719484,6.05650119877409,7.13498574946862,8.2049284641624,7.96960285692296,8.62015140912214,7.36460479826978,7.66803654713599,6.8991667030999,7.62049782198967,9.06374913694339,6.65888199351677,6.62492408373245,7.67788535797249,7.58629279401516,7.0529722731801,6.36125314152181,6.46106798295206,6.56104009366007,8.82823103062883,8.39762872869452,7.57489314853093,9.73076999251849,7.59154039975905,8.42788287308835,9.69450549701234,10.0743920785916,17.7302035467925,14.5641339360899,10.7762405420335,..
St. Kitts and Nevis,KNA,Real effective exchange rate index (2010 = 100),PX.REX.REER,93.315779208618,96.6490099315227,96.968902716119,100.986473293007,102.468233230845,102.30591563237,99.7048587191837,100.420756348671,101.0437383182,100.383124929729,100,101.711094149331,97.4738393844149,98.6833410916208,100.091628059704,96.0242124232516,98.4847920514559,102.860864949504,107.157965324942,107.681815690717,106.448744994074,104.797393173518,102.762279822967,99.7027607153628,92.537466271749,92.4469527882872,94.4441429443533,94.8548868522178,92.3762673913666,93.7202251443892,94.2082945800984,97.9532701682047,95.0997157054972,100.34203185936,106.904427634235,110.780478741066,111.181866147133,109.103337125482,107.934617702071,105.0813026136,101.714647786562
St. Lucia,LCA,Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Lucia,LCA,Broad money growth (annual %),FM.LBL.BMNY.ZG,-12.6976629611192,-8.34166713472733,4.9599612564093,2.87487061975214,1.0031891065554,5.4182008042381,2.83147651290813,2.9904244517038,3.27920416149163,3.20269499345791,1.82117740299474,3.02783476907028,7.68913360915921,6.94511988840499,17.4318904126077,12.4562231255758,7.99059992409862,10.7118692405485,1.33663109104814,4.48039208270123,6.14704796155995,8.16089495881408,11.5585080674273,4.19447656933983,4.91230005180994,10.7672359155177,6.5001139525904,6.08693400318525,2.81601843458518,7.94519867895738,11.7551902356411,16.6278157016927,22.5206900364462,16.2860712509552,25.4282827913882,19.9273074948098,11.4957868307881,14.5535814161602,9.22289815969659,17.4597574684876,11.7700918964077
St. Lucia,LCA,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,..,5.07726744473791,5.0557276733913,4.27875194736825,4.3803714182583,4.17268740233796,4.87814479631271,6.358703706077,5.11622561627434,5.38394249628111,5.39840386554585,6.25598140977929,7.43411551921467,6.41177886978302,6.8501407407094,6.74299748606668,5.26540302435037,6.04511676485046,6.2168117867989,6.47665011623999,6.99378281432599,6.97017650024701,6.80020856751719,7.05854301919856,7.3585399709624,6.24133123382136,6.15140630572666,5.55977932223415,5.6732362954988,6.27790942837676,6.35799638725743,6.63913848420522,6.66198173671374,5.76403318903319,6.07998879006446,9.62195871761177,8.19813917307204,10.2619729322334,9.6776766501358,9.55803621097581,7.47388291140935
St. Lucia,LCA,Real effective exchange rate index (2010 = 100),PX.REX.REER,99.5827913661489,103.022181115251,102.358823428841,103.192048891817,104.959564368577,106.87593813944,102.896006451605,100.572180656602,100.185640810405,97.3889173670858,100,99.9013672607506,97.3626790710656,97.9250361131852,101.376912569343,101.645491586537,102.956461788101,108.156027736873,113.432301016719,116.774964935931,111.610697150715,105.940684392664,104.971289519932,102.38205781977,103.111107138393,103.764619979782,104.763950035608,105.043090060109,101.241494548765,100.640958519195,99.2942912942384,104.094301781763,101.664091234142,107.225637076753,109.390724556444,116.264702735417,119.281959100368,114.68256011376,112.885245802261,110.048624622783,100.268110008992
St. Martin (French part),MAF,Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Martin (French part),MAF,Broad money growth (annual %),FM.LBL.BMNY.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Martin (French part),MAF,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Martin (French part),MAF,Real effective exchange rate index (2010 = 100),PX.REX.REER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,VCT,Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,VCT,Broad money growth (annual %),FM.LBL.BMNY.ZG,-6.55822749217947,5.40132286471166,1.23902874364482,1.39519433063891,1.88013018455346,4.16531298826489,8.69932424744889,6.74603670807137,4.891295502403,2.16135392057332,2.6761409663523,-2.01246338225682,4.07164325351839,7.9756937058975,4.76226782571852,3.99295935650058,4.72732316682946,2.25651489042948,4.55322207837728,5.02290949544638,4.75753761414314,12.8868305753119,13.138292620965,12.0649863145377,6.79714682695399,5.82048589045053,6.76608090115154,9.54831945010776,7.816389950284,1.4661911911274,13.4605095338769,12.5602244908589,25.9420521587814,7.38787208851937,15.7457282507937,29.5724520444808,-0.398550485722552,12.5986759282572,12.5532393708794,18.6774815767348,4.84096777873417
St. Vincent and the Grenadines,VCT,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,..,3.36896063313434,3.64485813189633,3.35336344072912,3.13159186203509,3.55976954405289,3.60500805118823,3.86331702430247,4.40397259431883,5.20089603104738,4.04851199126433,5.06042252729221,5.41891537061446,5.01015084681226,5.12861636375383,5.5419658240124,4.94042787086856,6.90971660405595,6.5023354728933,5.38498252750204,5.70917128066617,7.06177471061461,6.87176625542937,7.54932640055485,6.96037625446363,6.59489664180759,5.94840383469724,5.52614736377438,4.76176563841874,6.49920746900455,5.48507473120535,5.62414808308528,5.21410870081814,4.46768875700681,3.25646858392471,5.26653247450349,4.37525278791685,9.88522602572056,10.4564288705072,4.93460363141731,5.15024042726654
St. Vincent and the Grenadines,VCT,Real effective exchange rate index (2010 = 100),PX.REX.REER,103.644765990299,105.89275044138,103.924246747337,104.162873440735,104.177242749938,103.072196028057,97.7192870923574,98.5871161752953,99.7597706740456,96.7786582413686,100,102.515367598026,99.1351188224553,98.174973027986,100.087407454927,101.347354608112,103.467480721001,108.118900662615,116.590243149178,119.062631558938,117.661165354366,116.522827640994,116.740318466174,114.666913139523,113.555940932086,109.98998462537,116.203340606718,119.558869188626,111.906743603289,117.377681065011,122.561952718559,125.237227805564,114.987349604453,119.155180661414,124.889320889497,126.987844549151,128.213564056497,126.174071325013,121.755562204527,117.537306308462,111.167969598823
Sudan,SDN,Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,..,10823033452.0102,10891031567.939,11176245887.5295,11100692425.3864,10734258133.9919,10080720686.4535,10303603399.7758,9850282626.91677,12645760726.2143,13405073020.7533,13510853912.0307,13528733449.9632,13010040799.5194,12262333138.9983,10795790384.6306,9968671691.07298,8648843371.58624,8025469699.39015,7113732072.65046,6811354084.18124,4311979636.08921,4459712531.63991,3738783851.35723,2657525410.53765,1547172653.63232,1500460025.7094,1489692335.16841,1441146402.48659,1178071891.67522,1337310499.01291,1417667132.19986,1415086791.02433,1549628888.9436,1260824283.14738,1407714657.49961,2123551844.8899,2212202175.5131,2350614501.87003,1168856586.87994,1246264366.657
Sudan,SDN,Broad money growth (annual %),FM.LBL.BMNY.ZG,87.9913831302034,60.0789296283337,111.826326805131,68.7846305867026,28.2588878696591,20.8769390792482,16.990136238177,13.0735854393737,39.140602726195,17.7200945120186,26.272516302831,23.7870987633119,16.3416629733584,10.7682797693837,32.1888104507858,43.4173771363269,30.1653053290674,28.1598280605037,30.4327358776433,24.5146225557476,36.8580141883169,23.4667611610527,29.9305958848977,38.0038979880788,65.6174866868252,72.6803614790597,51.1755370401859,103.919740481896,139.788405149079,67.5498882429061,48.7518132209712,53.3169064798995,32.8250574389272,36.4875588777391,27.9088423568704,64.2425953562161,19.5650077160494,22.7437392958336,41.1708996507022,41.991646759164,29.3675808432255
Sudan,SDN,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,..,..,..,63.0649653987386,62.4486932539375,69.0010329958929,59.0166537071564,57.9786310515913,66.1141044525078,69.7015857476697,13.302507688095,10.6020239486286,7.84694101484973,7.09981195087872,4.93991392044731,2.95913434750148,2.72175033248434,5.22212943201714,8.58954520234282,33.5481142750769,9.78334737130842,5.31422681138886,11.2744024284249,12.2830351053667,8.5665424220345,7.28011872025884,17.6760335663653,44.3833437248289,48.4190060186131,263.25840786615,231.966773629636,216.607433010587,278.395617786747,505.725823188367,83.4526360702161,333.775956284153,154.441445182724,144.457028826298,137.347425474255,176.290932178079,43.2415533927706
Sudan,SDN,Real effective exchange rate index (2010 = 100),PX.REX.REER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Suriname,SUR,Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,..,..,..,..,..,..,..,..,..,..,1581554600.42252,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Suriname,SUR,Broad money growth (annual %),FM.LBL.BMNY.ZG,62.0542995477968,5.69446377485855,9.06456035757818,8.69518164223845,52.2075463658633,11.7544950140815,5.45082424642804,11.0677321140968,21.1390435174354,21.4559721530218,10.67944305701,14.8879244882069,20.8684981710095,28.7855492680333,27.1408489660771,11.1401740304065,32.4135086848898,19.8709159941271,116.751601255684,28.1621941329841,80.5482245574555,37.8468674743327,38.0170587857744,19.0479624691556,38.5492673610452,181.699299132101,205.560297431766,65.9737016618512,19.4693360332102,23.6955029867047,4.23024041592679,18.3359572099518,23.6487587150583,28.1934554263161,25.3832558748445,32.3864571869286,20.5190600522193,10.9823239640684,11.1762583438571,19.7007558229215,7.83253771560686
Suriname,SUR,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,..,4.19861364874267,4.42905483595844,5.53593751234953,6.82244775861744,9.42832497495331,4.61442993068539,3.51270682900648,2.44132626318399,2.51333748123986,2.91275199945575,2.76744487613606,2.62664051766473,3.24690224945014,4.28552151251743,5.66407104202853,5.22049969515258,5.0142656133892,4.67795443519664,1.3677611554411,2.54566347770277,2.62766249712765,3.14552586888879,1.97599893052237,1.87592991718021,1.05793515080624,3.46616079354887,6.95773647914866,10.4454158170948,22.9074950643438,8.94037432750047,23.2319050833824,43.6925273308387,29.7451842450772,22.787384419416,18.5837359188799,13.88927463029,6.00096800265369,2.15187345706348,1.69744674690281,1.4658844624676
Suriname,SUR,Real effective exchange rate index (2010 = 100),PX.REX.REER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sweden,SWE,Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,..,151088517705.089,153211042753.76,149664070485.507,141366747674.352,136954448393.077,126318005602.68,118114900270.437,116296345021.049,122999076478.218,113848664399.206,98128556995.9577,120623111674.821,123404237955.27,111093855850.296,101039692870.213,96363163564.2797,92520248404.8638,89482261064.5873,91515042648.7078,90717615383.0572,83730257659.287,80622923096.4036,73914401738.2957,72264674736.7344,71611073873.9478,65926970216.0199,57671492598.0129,71378010754.4545,75863954549.1315,87653582831.3512,87663590017.1805,77891135325.2145,73342168064.0535,68695897964.7237,69247991205.3733,61443313432.2136,55626639728.3784,55144809041.0387,55304922566.832,63227020978.5041
Sweden,SWE,Broad money growth (annual %),FM.LBL.BMNY.ZG,18.1391472575032,7.06028663170404,3.81822692075168,10.0639182390636,8.84685293256139,6.64832835273634,4.1774057955312,3.81599354340264,3.36892606915059,6.64863971977526,3.50297512121341,0.505098058416057,2.71906858795869,18.5897781453118,15.0215300021636,16.4819325245292,3.36975669575135,4.41188177928152,8.25757092878259,22.4286821236818,1.92048536391652,8.5140703823011,-0.436546982355369,1.12326959816615,8.86316277532922,3.09141280325912,0.694858407385637,4.16726696441435,3.27731767632731,4.15408147609757,0.774311233135148,10.9609052784806,7.58216968996439,5.96446449808178,13.6425476505848,3.29290633768523,8.48335127846594,7.21379213619352,8.01986976856459,13.2960779523885,12.2043540418219
Sweden,SWE,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,..,7.12591821654734,6.63774497421745,6.33116089484569,6.01723285017065,5.73349589067795,6.1362634823713,5.93955395041676,6.88196034855212,7.22726809246346,6.35441695007012,5.90259438406075,10.8410047651039,9.85913053082724,8.43547917924466,8.15777620034177,7.15023165356456,7.023718619166,6.46005114892143,6.9017237721158,6.01883448439134,6.45055851054151,6.69455291860447,8.8738475685714,5.84564630788313,4.06724309663839,3.68872487768329,4.33662273616659,4.83565405327026,5.42711072107914,5.36402659223205,8.28166441424816,8.57620611479868,7.613223580533,7.96382330588915,6.65614831853621,9.12053887220895,8.166053100523,9.38930250050944,11.2727796713581,10.2384594974181
Sweden,SWE,Real effective exchange rate index (2010 = 100),PX.REX.REER,87.7337165228752,85.6517263856235,89.1721207050423,92.9812019027207,93.8901640110052,93.3263711950249,100.74623854484,106.40767356765,105.125228698835,105.838168394746,100,94.8014512820856,105.196799503901,107.770961576948,106.386293510978,107.181775631399,112.182018768852,111.60327540315,104.642433033737,101.910524889522,111.182662916545,113.814723604121,117.034677181698,120.879666606148,127.851640523331,118.425835246545,118.627433125821,120.396879039645,146.695361759193,146.754969773361,140.858468803981,135.460439944451,131.760855467234,127.88402442767,128.217687739601,129.033766241343,126.311889957551,120.489801590616,133.020545139843,147.716618632213,147.568381906707
Switzerland,CHE,Gross capital formation (constant 2010 US$),NE.GDI.TOTL.KD,..,138828329892.582,144315614795.471,143482287239.935,138508183927.267,139726096782.052,134417538864.864,127044601216.254,140799235464.18,155919865641.298,139310096358.538,147203178733.924,141411604485.821,134051564517.753,139094395589.9,132219081953.174,117201901709.896,124228087008.624,123053254684.378,124680651074.204,121843554831.106,120424491487.447,119570928155.327,108756005915.208,112563697290.144,112818398474.603,109192949446.29,103614140172.912,103835633834.174,109777877914.233,120061033535.118,106508509857.518,98530676453.8903,95962405795.1031,95966143354.2407,82701545049.1633,80485762231.6767,87713572042.1371,83787785093.5293,82407965657.9013,90137786969.1608
Switzerland,CHE,Broad money growth (annual %),FM.LBL.BMNY.ZG,..,..,..,..,3.30738697507558,0.0794145151533264,4.5699547970414,4.07568743554397,13.0049811619879,11.2288814640572,5.501184989208,7.6057570610455,4.01897023809639,3.32901707682785,4.60606762087496,6.88769804723943,2.85023318029875,8.35913016889283,5.7321146989266,3.91325899092265,-16.930526803309,13.2799202208374,5.09823674734555,6.62420625516005,9.56671608598962,4.6060794044665,4.15613538321203,8.89797734439469,2.5969648553821,2.33105107780219,0.834714025550794,6.28318120430308,5.42452974930191,10.5697621947703,3.33382416873519,4.17118627354304,13.7648642585289,3.88784094680603,18.5818557799375,8.37822095241727,0.480482489144552
