Date,KRW,sin_DoY,Ave Monthly USD FX Rate,Inflation (CPI) %,Lending Interest Rate %,Deposit Interest Rate %,Exports(USD),Imports (USD),NY.GDP.MKTP.CD,Real Interest Rate(%),Foreign Exchange Reserves(%),Trade Openness,Portfolio Investments(USD),Umemployment rate(%),Current Account(%GDP),FDI(%GDP),Capital Formations(USD),Gov Consumption Expendature (%GDP),GDP % Growth,KRW_30_ave,KRW_60_ave,KRW_90_ave,MoY_is_1,MoY_is_2,MoY_is_3,MoY_is_4,MoY_is_5,MoY_is_6,MoY_is_7,MoY_is_8,MoY_is_9,MoY_is_10,MoY_is_11,MoY_is_12,KRW_classifier
1996-09-03,818.9,-0.8826787983255475,821.76,63.8651309015527,11.05,10.44,9992000000.0,11404000000.0,610169556840.077,-52.81513090155271,5.250606104623625,0.0350656629131167,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,816.7733333333333,812.1016666666667,801.951111111111,0,0,0,0,0,0,0,0,1,0,0,0,Small deppreciation
1996-09-04,818.8,-0.8906165093267404,821.76,63.8651309015527,11.05,10.44,9992000000.0,11404000000.0,610169556840.077,-52.81513090155271,5.250606104623625,0.0350656629131167,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,816.9566666666667,812.5683333333333,802.3922222222222,0,0,0,0,0,0,0,0,1,0,0,0,Small deppreciation
1996-09-05,818.3,-0.8982917515547529,821.76,63.8651309015527,11.05,10.44,9992000000.0,11404000000.0,610169556840.077,-52.81513090155271,5.250606104623625,0.0350656629131167,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,817.09,812.9983333333333,802.8266666666666,0,0,0,0,0,0,0,0,1,0,0,0,Small deppreciation
1996-09-06,819.2,-0.9057022630804714,821.76,63.8651309015527,11.05,10.44,9992000000.0,11404000000.0,610169556840.077,-52.81513090155271,5.250606104623625,0.0350656629131167,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,817.2833333333333,813.4033333333333,803.2811111111112,0,0,0,0,0,0,0,0,1,0,0,0,Small deppreciation
1996-09-09,819.6,-0.9263239682514952,821.76,63.8651309015527,11.05,10.44,9992000000.0,11404000000.0,610169556840.077,-52.81513090155271,5.250606104623625,0.0350656629131167,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,817.4599999999999,813.7666666666667,803.74,0,0,0,0,0,0,0,0,1,0,0,0,Small deppreciation
1996-09-10,822.8,-0.9326545075388224,821.76,63.8651309015527,11.05,10.44,9992000000.0,11404000000.0,610169556840.077,-52.81513090155271,5.250606104623625,0.0350656629131167,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,817.6533333333333,814.2066666666667,804.2311111111111,0,0,0,0,0,0,0,0,1,0,0,0,Small deppreciation
1996-09-11,821.6,-0.9387101892619444,821.76,63.8651309015527,11.05,10.44,9992000000.0,11404000000.0,610169556840.077,-52.81513090155271,5.250606104623625,0.0350656629131167,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,817.9233333333334,814.5849999999999,804.7122222222222,0,0,0,0,0,0,0,0,1,0,0,0,Small deppreciation
1996-09-12,823.2,-0.9444892287836611,821.76,63.8651309015527,11.05,10.44,9992000000.0,11404000000.0,610169556840.077,-52.81513090155271,5.250606104623625,0.0350656629131167,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,818.2633333333334,814.9983333333333,805.2111111111111,0,0,0,0,0,0,0,0,1,0,0,0,Small deppreciation
1996-09-13,821.0,-0.9499899229945008,821.76,63.8651309015527,11.05,10.44,9992000000.0,11404000000.0,610169556840.077,-52.81513090155271,5.250606104623625,0.0350656629131167,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,818.5233333333333,815.3616666666668,805.6855555555555,0,0,0,0,0,0,0,0,1,0,0,0,Small deppreciation
1996-09-16,829.0,-0.9648061359537644,821.76,63.8651309015527,11.05,10.44,9992000000.0,11404000000.0,610169556840.077,-52.81513090155271,5.250606104623625,0.0350656629131167,11581700000.0,1.83333333333333,-1.1080690480551223,0.0424799954527943,228799428180.745,10.3898352839936,7.692799930809757,819.0300000000001,815.7283333333334,806.2477777777776,0,0,0,0,0,0,0,0,1,0,0,0,Small deppreciation
