Date,MXN,sin_DoY,Inflation (CPI) %,Deposit Interest Rate %,Lending Interest Rate %,Exports(USD),NY.GDP.MKTP.CD,Real Interest Rate(%),Foreign Exchange Reserves(%),REED 12mth std dev,Current Account(%GDP),FDI(%GDP),Capital Formations(USD),Gov Consumption Expendature (%GDP),GDP % Growth,MXN_30_ave,MXN_60_ave,MXN_90_ave,MoY_is_1,MoY_is_2,MoY_is_3,MoY_is_4,MoY_is_5,MoY_is_6,MoY_is_7,MoY_is_8,MoY_is_9,MoY_is_10,MoY_is_11,MoY_is_12,MXN_classifier
1997-04-23,7.879,0.9368813462954315,41.816719547619,18.16,25.01,9220500000.0,500413483109.175,-16.806719547619,4.446922545279435,3.7120220370602235,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.91697,7.886076666666667,7.871545555555555,0,0,0,1,0,0,0,0,0,0,0,0,Small Appreciation
1997-04-24,7.856,0.9307239310379795,41.816719547619,18.16,25.01,9220500000.0,500413483109.175,-16.806719547619,4.446922545279435,3.7120220370602235,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.91227,7.886468333333332,7.870834444444444,0,0,0,1,0,0,0,0,0,0,0,0,Small Appreciation
1997-04-25,7.89,0.9242907221930933,41.816719547619,18.16,25.01,9220500000.0,500413483109.175,-16.806719547619,4.446922545279435,3.7120220370602235,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.90927,7.887218333333334,7.870834444444445,0,0,0,1,0,0,0,0,0,0,0,0,Small Appreciation
1997-04-28,7.925,0.9033558023246845,41.816719547619,18.16,25.01,9220500000.0,500413483109.175,-16.806719547619,4.446922545279435,3.7120220370602235,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.907103333333334,7.888968333333334,7.871334444444445,0,0,0,1,0,0,0,0,0,0,0,0,Small Appreciation
1997-04-29,7.971,0.895839290734909,41.816719547619,18.16,25.01,9220500000.0,500413483109.175,-16.806719547619,4.446922545279435,3.7120220370602235,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.907803333333333,7.891535,7.872845555555556,0,0,0,1,0,0,0,0,0,0,0,0,Small Appreciation
1997-04-30,7.945,0.8880573226294932,41.816719547619,18.16,25.01,9220500000.0,500413483109.175,-16.806719547619,4.446922545279435,3.7120220370602235,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.908636666666666,7.893384999999999,7.873678888888889,0,0,0,1,0,0,0,0,0,0,0,0,Small Appreciation
1997-05-01,7.945,0.8800122039735357,42.198364238478,15.92,20.24,8835700000.0,500413483109.175,-21.958364238478,4.847671139729774,3.754794415023468,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.908803333333334,7.895551666666667,7.874778888888889,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1997-05-02,7.917,0.8717063187093218,42.198364238478,15.92,20.24,8835700000.0,500413483109.175,-21.958364238478,4.847671139729774,3.754794415023468,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.908870000000001,7.897001666666666,7.875634444444445,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1997-05-05,7.91,0.8452490573530633,42.198364238478,15.92,20.24,8835700000.0,500413483109.175,-21.958364238478,4.847671139729774,3.754794415023468,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.909203333333334,7.8987516666666675,7.876412222222223,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1997-05-06,7.88,0.8359254794186372,42.198364238478,15.92,20.24,8835700000.0,500413483109.175,-21.958364238478,4.847671139729774,3.754794415023468,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.908803333333334,7.900085000000001,7.876745555555556,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1997-05-07,7.924,0.8263541987239096,42.198364238478,15.92,20.24,8835700000.0,500413483109.175,-21.958364238478,4.847671139729774,3.754794415023468,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.90927,7.902235,7.877512222222222,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1997-05-08,7.918,0.8165380514459161,42.198364238478,15.92,20.24,8835700000.0,500413483109.175,-21.958364238478,4.847671139729774,3.754794415023468,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.909436666666666,7.904368333333333,7.878167777777777,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1997-05-09,7.9005,0.8064799463209448,42.198364238478,15.92,20.24,8835700000.0,500413483109.175,-21.958364238478,4.847671139729774,3.754794415023468,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.908453333333333,7.9061433333333335,7.878384444444445,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1997-05-12,7.925,0.7748840413670407,42.198364238478,15.92,20.24,8835700000.0,500413483109.175,-21.958364238478,4.847671139729774,3.754794415023468,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.908286666666666,7.90856,7.878606666666667,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1997-05-13,7.905,0.7638886127905428,42.198364238478,15.92,20.24,8835700000.0,500413483109.175,-21.958364238478,4.847671139729774,3.754794415023468,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.907953333333333,7.9103433333333335,7.878995555555556,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1997-05-14,7.894,0.7526668275320085,42.198364238478,15.92,20.24,8835700000.0,500413483109.175,-21.958364238478,4.847671139729774,3.754794415023468,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.906753333333333,7.912093333333333,7.879428888888889,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1997-05-15,7.899,0.7412220108485958,42.198364238478,15.92,20.24,8835700000.0,500413483109.175,-21.958364238478,4.847671139729774,3.754794415023468,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.90442,7.914701666666668,7.880084444444444,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1997-05-16,7.895,0.7295575540864875,42.198364238478,15.92,20.24,8835700000.0,500413483109.175,-21.958364238478,4.847671139729774,3.754794415023468,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.90252,7.916951666666666,7.8809177777777775,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1997-05-19,7.894,0.6932812268869777,42.198364238478,15.92,20.24,8835700000.0,500413483109.175,-21.958364238478,4.847671139729774,3.754794415023468,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.902253333333333,7.919351666666667,7.88174,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1997-05-20,7.885,0.6807734094770161,42.198364238478,15.92,20.24,8835700000.0,500413483109.175,-21.958364238478,4.847671139729774,3.754794415023468,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.902186666666667,7.921518333333333,7.882017777777777,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1997-05-21,7.865,0.6680638642135335,42.198364238478,15.92,20.24,8835700000.0,500413483109.175,-21.958364238478,4.847671139729774,3.754794415023468,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.901319999999999,7.922818333333334,7.882628888888889,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1997-05-22,7.87,0.6551563572090853,42.198364238478,15.92,20.24,8835700000.0,500413483109.175,-21.958364238478,4.847671139729774,3.754794415023468,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.900016666666667,7.923351666666666,7.883362222222223,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1997-05-23,7.885,0.6420547132365637,42.198364238478,15.92,20.24,8835700000.0,500413483109.175,-21.958364238478,4.847671139729774,3.754794415023468,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.898750000000001,7.922018333333333,7.884195555555555,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1997-05-27,7.93,0.5877852522924732,42.198364238478,15.92,20.24,8835700000.0,500413483109.175,-21.958364238478,4.847671139729774,3.754794415023468,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.899416666666666,7.921101666666667,7.885417777777778,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1997-05-28,7.91,0.5737722679043246,42.198364238478,15.92,20.24,8835700000.0,500413483109.175,-21.958364238478,4.847671139729774,3.754794415023468,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.900383333333334,7.920068333333334,7.8863288888888885,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1997-05-29,7.91,0.5595892624101765,42.198364238478,15.92,20.24,8835700000.0,500413483109.175,-21.958364238478,4.847671139729774,3.754794415023468,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.901083333333333,7.917751666666666,7.887551111111111,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1997-05-30,7.917,0.545240438540651,42.198364238478,15.92,20.24,8835700000.0,500413483109.175,-21.958364238478,4.847671139729774,3.754794415023468,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.902050000000001,7.916135000000001,7.888862222222222,0,0,0,0,1,0,0,0,0,0,0,0,Small Appreciation
1997-06-02,7.91,0.5012418134457758,42.572775185598,16.01,22.51,9384200000.0,500413483109.175,-20.062775185597996,4.690501114031563,3.634601144650725,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.903216666666667,7.914585,7.890139999999999,0,0,0,0,0,1,0,0,0,0,0,0,Small Appreciation
1997-06-03,7.914,0.48627270710868997,42.572775185598,16.01,22.51,9384200000.0,500413483109.175,-20.062775185597996,4.690501114031563,3.634601144650725,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.904616666666667,7.913943333333333,7.891128888888889,0,0,0,0,0,1,0,0,0,0,0,0,Small Appreciation
1997-06-04,7.929,0.4711595076738638,42.572775185598,16.01,22.51,9384200000.0,500413483109.175,-20.062775185597996,4.690501114031563,3.634601144650725,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.906583333333333,7.913143333333334,7.892228888888889,0,0,0,0,0,1,0,0,0,0,0,0,Small Appreciation
1997-06-05,7.947,0.4559066935084588,42.572775185598,16.01,22.51,9384200000.0,500413483109.175,-20.062775185597996,4.690501114031563,3.634601144650725,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.90885,7.91291,7.893667777777778,0,0,0,0,0,1,0,0,0,0,0,0,Small Appreciation
1997-06-06,7.985,0.440518784350495,42.572775185598,16.01,22.51,9384200000.0,500413483109.175,-20.062775185597996,4.690501114031563,3.634601144650725,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.91315,7.912710000000001,7.8953622222222215,0,0,0,0,0,1,0,0,0,0,0,0,Small Appreciation
1997-06-09,7.987,0.39359027665646673,42.572775185598,16.01,22.51,9384200000.0,500413483109.175,-20.062775185597996,4.690501114031563,3.634601144650725,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.916383333333333,7.912826666666666,7.89694,0,0,0,0,0,1,0,0,0,0,0,0,Small Appreciation
1997-06-10,7.965,0.3777079652039649,42.572775185598,16.01,22.51,9384200000.0,500413483109.175,-20.062775185597996,4.690501114031563,3.634601144650725,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.917716666666667,7.91241,7.898551111111113,0,0,0,0,0,1,0,0,0,0,0,0,Small Appreciation
1997-06-11,7.973,0.36171373072976765,42.572775185598,16.01,22.51,9384200000.0,500413483109.175,-20.062775185597996,4.690501114031563,3.634601144650725,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.917783333333333,7.912793333333332,7.900284444444445,0,0,0,0,0,1,0,0,0,0,0,0,Small Appreciation
1997-06-12,7.965,0.3456123126707335,42.572775185598,16.01,22.51,9384200000.0,500413483109.175,-20.062775185597996,4.690501114031563,3.634601144650725,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.918450000000001,7.913543333333334,7.90174,0,0,0,0,0,1,0,0,0,0,0,0,Small Appreciation
1997-06-13,7.965,0.3294084822245304,42.572775185598,16.01,22.51,9384200000.0,500413483109.175,-20.062775185597996,4.690501114031563,3.634601144650725,-0.23799538585577412,0.5184712417978472,99315317042.3691,8.26160243536039,21.762335481629226,7.919116666666667,7.91396,7.903406666666667,0,0,0,0,0,1,0,0,0,0,0,0,Small Appreciation
