Date,TRY,sin_DoY,Ave Monthly USD FX Rate,Inflation (CPI) %,Deposit Interest Rate %,Imports (USD),Exports(USD),NY.GDP.MKTP.CD,Foreign Exchange Reserves(%),Trade Openness,Portfolio Investments(USD),Umemployment rate(%),Current Account(%GDP),FDI(%GDP),Capital Formations(USD),Gov Consumption Expendature (%GDP),GDP % Growth,TRY_30_ave,TRY_60_ave,TRY_90_ave,MoY_is_1,MoY_is_2,MoY_is_3,MoY_is_4,MoY_is_5,MoY_is_6,MoY_is_7,MoY_is_8,MoY_is_9,MoY_is_10,MoY_is_11,MoY_is_12,TRY_classifier
2006-02-15,1.3315,0.699458327051647,1.32243214285714,69.4170403587444,19.5,9832138518.584558,6079930179.728379,557057829051.453,10.16088403180344,0.028564482659561,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.33121,1.3423366666666667,1.3476844444444442,0,1,0,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-02-16,1.3296,0.7116566222817746,1.32243214285714,69.4170403587444,19.5,9832138518.584558,6079930179.728379,557057829051.453,10.16088403180344,0.028564482659561,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3310266666666666,1.3417383333333333,1.347468888888889,0,1,0,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-02-17,1.3225,0.7236440382959124,1.32243214285714,69.4170403587444,19.5,9832138518.584558,6079930179.728379,557057829051.453,10.16088403180344,0.028564482659561,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3307766666666665,1.3410049999999998,1.3471877777777777,0,1,0,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-02-20,1.3185,0.7583058084785624,1.32243214285714,69.4170403587444,19.5,9832138518.584558,6079930179.728379,557057829051.453,10.16088403180344,0.028564482659561,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3301766666666666,1.3403216666666666,1.3467655555555555,0,1,0,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-02-21,1.318,0.7694148268839378,1.32243214285714,69.4170403587444,19.5,9832138518.584558,6079930179.728379,557057829051.453,10.16088403180344,0.028564482659561,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.32931,1.3396466666666669,1.3461788888888888,0,1,0,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-02-22,1.3265,0.7802958510707755,1.32243214285714,69.4170403587444,19.5,9832138518.584558,6079930179.728379,557057829051.453,10.16088403180344,0.028564482659561,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3289233333333332,1.3391300000000002,1.3457233333333334,0,1,0,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-02-23,1.319,0.7909456567567772,1.32243214285714,69.4170403587444,19.5,9832138518.584558,6079930179.728379,557057829051.453,10.16088403180344,0.028564482659561,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3282533333333333,1.33848,1.3453177777777776,0,1,0,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-02-24,1.3209,0.8013610881746766,1.32243214285714,69.4170403587444,19.5,9832138518.584558,6079930179.728379,557057829051.453,10.16088403180344,0.028564482659561,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3275633333333334,1.337886666666667,1.344833333333333,0,1,0,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-02-27,1.316,0.8311706263658079,1.32243214285714,69.4170403587444,19.5,9832138518.584558,6079930179.728379,557057829051.453,10.16088403180344,0.028564482659561,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3270133333333332,1.3372316666666668,1.344238888888889,0,1,0,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-02-28,1.3135,0.8406184056344782,1.32243214285714,69.4170403587444,19.5,9832138518.584558,6079930179.728379,557057829051.453,10.16088403180344,0.028564482659561,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3260133333333333,1.3364733333333334,1.34368,0,1,0,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-03-01,1.308,0.8498170915275278,1.33195,69.6076233183856,19.3,11636054311.348,7425566706.70821,557057829051.453,10.477188714748172,0.0342183881528313,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3250966666666668,1.3356066666666666,1.3431022222222222,0,0,1,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-03-02,1.303,0.8587639582758029,1.33195,69.6076233183856,19.3,11636054311.348,7425566706.70821,557057829051.453,10.477188714748172,0.0342183881528313,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3240133333333333,1.3347066666666665,1.342468888888889,0,0,1,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-03-03,1.3085,0.8674563547295969,1.33195,69.6076233183856,19.3,11636054311.348,7425566706.70821,557057829051.453,10.477188714748172,0.0342183881528313,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.32308,1.3339566666666665,1.3419466666666666,0,0,1,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-03-06,1.3125,0.8919813464595485,1.33195,69.6076233183856,19.3,11636054311.348,7425566706.70821,557057829051.453,10.477188714748172,0.0342183881528313,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.32267,1.3332149999999998,1.3414744444444444,0,0,1,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-03-07,1.329,0.8996308696522433,1.33195,69.6076233183856,19.3,11636054311.348,7425566706.70821,557057829051.453,10.477188714748172,0.0342183881528313,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.32292,1.3327816666666663,1.34123,0,0,1,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-03-08,1.3485,0.907013812802636,1.33195,69.6076233183856,19.3,11636054311.348,7425566706.70821,557057829051.453,10.477188714748172,0.0342183881528313,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3237533333333331,1.332665,1.3411966666666666,0,0,1,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-03-09,1.348,0.9141279881853336,1.33195,69.6076233183856,19.3,11636054311.348,7425566706.70821,557057829051.453,10.477188714748172,0.0342183881528313,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3245533333333337,1.3326233333333335,1.3411633333333333,0,0,1,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-03-10,1.3525,0.9209712877166346,1.33195,69.6076233183856,19.3,11636054311.348,7425566706.70821,557057829051.453,10.477188714748172,0.0342183881528313,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.32547,1.3327099999999998,1.3411877777777776,0,0,1,0,0,0,0,0,0,0,0,0,Medium Crash Confidence
2006-03-13,1.3433,0.9398560579418954,1.33195,69.6076233183856,19.3,11636054311.348,7425566706.70821,557057829051.453,10.477188714748172,0.0342183881528313,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3259533333333335,1.3326816666666663,1.3411422222222222,0,0,1,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-03-14,1.343,0.9455963874271426,1.33195,69.6076233183856,19.3,11636054311.348,7425566706.70821,557057829051.453,10.477188714748172,0.0342183881528313,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.32662,1.332585,1.3410822222222225,0,0,1,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-03-15,1.3335,0.9510565162951536,1.33195,69.6076233183856,19.3,11636054311.348,7425566706.70821,557057829051.453,10.477188714748172,0.0342183881528313,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.32696,1.3323016666666665,1.3408766666666667,0,0,1,0,0,0,0,0,0,0,0,0,Medium Crash Confidence
2006-03-16,1.324,0.9562348265919056,1.33195,69.6076233183856,19.3,11636054311.348,7425566706.70821,557057829051.453,10.477188714748172,0.0342183881528313,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.32686,1.3318766666666666,1.3404766666666663,0,0,1,0,0,0,0,0,0,0,0,0,High Crash Confidence
2006-03-17,1.3275,0.9611297838723007,1.33195,69.6076233183856,19.3,11636054311.348,7425566706.70821,557057829051.453,10.477188714748172,0.0342183881528313,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3269766666666667,1.33148,1.3400888888888889,0,0,1,0,0,0,0,0,0,0,0,0,Medium Crash Confidence
2006-03-20,1.333,0.9741004551724204,1.33195,69.6076233183856,19.3,11636054311.348,7425566706.70821,557057829051.453,10.477188714748172,0.0342183881528313,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.327076666666667,1.3311133333333334,1.3397777777777775,0,0,1,0,0,0,0,0,0,0,0,0,Medium Crash Confidence
2006-03-21,1.3445,0.9778483415056568,1.33195,69.6076233183856,19.3,11636054311.348,7425566706.70821,557057829051.453,10.477188714748172,0.0342183881528313,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3275266666666667,1.3310133333333336,1.3395666666666668,0,0,1,0,0,0,0,0,0,0,0,0,Medium Crash Confidence
2006-03-22,1.3438,0.9813064702716092,1.33195,69.6076233183856,19.3,11636054311.348,7425566706.70821,557057829051.453,10.477188714748172,0.0342183881528313,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.327856666666667,1.330905,1.339331111111111,0,0,1,0,0,0,0,0,0,0,0,0,Medium Crash Confidence
2006-03-23,1.3425,0.9844738167520922,1.33195,69.6076233183856,19.3,11636054311.348,7425566706.70821,557057829051.453,10.477188714748172,0.0342183881528313,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.32824,1.3308099999999998,1.339092222222222,0,0,1,0,0,0,0,0,0,0,0,0,Medium Crash Confidence
2006-03-24,1.3425,0.9873494423939864,1.33195,69.6076233183856,19.3,11636054311.348,7425566706.70821,557057829051.453,10.477188714748172,0.0342183881528313,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3287066666666665,1.3306966666666666,1.338881111111111,0,0,1,0,0,0,0,0,0,0,0,0,Medium Crash Confidence
2006-03-27,1.3475,0.994217906893952,1.33195,69.6076233183856,19.3,11636054311.348,7425566706.70821,557057829051.453,10.477188714748172,0.0342183881528313,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3293233333333334,1.3306299999999998,1.3387144444444443,0,0,1,0,0,0,0,0,0,0,0,0,Low Crash Confidence
2006-03-28,1.3533,0.995918996147179,1.33195,69.6076233183856,19.3,11636054311.348,7425566706.70821,557057829051.453,10.477188714748172,0.0342183881528313,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3301466666666666,1.3307666666666669,1.33869,0,0,1,0,0,0,0,0,0,0,0,0,Low Crash Confidence
2006-03-29,1.3608,0.9973249731081556,1.33195,69.6076233183856,19.3,11636054311.348,7425566706.70821,557057829051.453,10.477188714748172,0.0342183881528313,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3311233333333334,1.3311666666666666,1.338598888888889,0,0,1,0,0,0,0,0,0,0,0,0,Low Crash Confidence
2006-03-30,1.3455,0.9984354211555644,1.33195,69.6076233183856,19.3,11636054311.348,7425566706.70821,557057829051.453,10.477188714748172,0.0342183881528313,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.3316533333333334,1.33134,1.3383766666666663,0,0,1,0,0,0,0,0,0,0,0,0,Low Crash Confidence
2006-03-31,1.3458,0.9992500112396836,1.33195,69.6076233183856,19.3,11636054311.348,7425566706.70821,557057829051.453,10.477188714748172,0.0342183881528313,970000000.0,10.5666666666667,-1.564110500849853,0.215956034950347,158599125726.286,12.9075276945864,10.023441532455555,1.33243,1.3316033333333333,1.3381466666666666,0,0,1,0,0,0,0,0,0,0,0,0,Low Crash Confidence
