Date,TRY,Yr,DoM,MoY,sin_DoY,cos_DoY,Ave Monthly USD FX Rate,@OBS_STATUS_x,Inflation (CPI) %,@OBS_STATUS_y,Deposit Interest Rate %,Imports (USD),Exports(USD),NY.GDP.MKTP.CD,Foreign Exchange Reserves(%),M2 Multiplier Growth (%),M2/Reserves,Domestic Credit to GDP,Trade Openness,Portfolio Investments(USD),Umemployment rate(%),Current Account(%GDP),FDI(%GDP),Total Debt(USD),Short Term Debt(USD),Capital Formations(USD),Gov Consumption Expendature (%GDP),GDP % Growth,TRY_30_ave,TRY_60_ave,TRY_90_ave,TRY_90d_change,TRY_classifier
2005-09-21,1.3365,2005,21,9,-0.9829265519799822,-0.18399835165767986,1.3365933,,66.3284753363229,,20.44,10405388737.1723,6837729345.9424,506308311476.63,8.244186211019107,2.0809463845120613,4.003072590015784,0.3886110052039633,0.03405655742214811,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.34706,1.34036,1.3489155555555556,-0.0057613168724279795,Small Appreciation
2005-09-22,1.3425,2005,22,9,-0.9859481499638303,-0.1670516255021195,1.3365933,,66.3284753363229,,20.44,10405388737.1723,6837729345.9424,506308311476.63,8.244186211019107,2.0809463845120613,4.003072590015784,0.3886110052039633,0.03405655742214811,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3478266666666667,1.3403516666666666,1.3485155555555555,-0.01452513966480451,Small Appreciation
2005-09-23,1.3468,2005,23,9,-0.9886775902323404,-0.15005539834465262,1.3365933,,66.3284753363229,,20.44,10405388737.1723,6837729345.9424,506308311476.63,8.244186211019107,2.0809463845120613,4.003072590015784,0.3886110052039633,0.03405655742214811,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3483699999999998,1.34054,1.3482522222222222,-0.017448767448767555,Small Appreciation
2005-09-26,1.348,2005,26,9,-0.9951053111006974,-0.09882013873287211,1.3365933,,66.3284753363229,,20.44,10405388737.1723,6837729345.9424,506308311476.63,8.244186211019107,2.0809463845120613,4.003072590015784,0.3886110052039633,0.03405655742214811,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3482866666666669,1.340698333333333,1.3480244444444445,-0.015578635014836917,Small Appreciation
2005-09-27,1.347,2005,27,9,-0.99665890175417,-0.08167639533042288,1.3365933,,66.3284753363229,,20.44,10405388737.1723,6837729345.9424,506308311476.63,8.244186211019107,2.0809463845120613,4.003072590015784,0.3886110052039633,0.03405655742214811,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3483699999999998,1.3407816666666668,1.3476966666666665,-0.017074981440237447,Small Appreciation
2005-09-28,1.3484,2005,28,9,-0.9979171608653922,-0.06450844944931625,1.3365933,,66.3284753363229,,20.44,10405388737.1723,6837729345.9424,506308311476.63,8.244186211019107,2.0809463845120613,4.003072590015784,0.3886110052039633,0.03405655742214811,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3482666666666667,1.3407966666666666,1.34729,-0.013645802432512566,Small Appreciation
2005-09-29,1.3545,2005,29,9,-0.9988797155850335,-0.04732138832243232,1.3365933,,66.3284753363229,,20.44,10405388737.1723,6837729345.9424,506308311476.63,8.244186211019107,2.0809463845120613,4.003072590015784,0.3886110052039633,0.03405655742214811,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3477,1.3408799999999998,1.346901111111111,-0.017349575489110425,Small Appreciation
2005-09-30,1.3455,2005,30,9,-0.9995462806873573,-0.03012030484690836,1.3365933,,66.3284753363229,,20.44,10405388737.1723,6837729345.9424,506308311476.63,8.244186211019107,2.0809463845120613,4.003072590015784,0.3886110052039633,0.03405655742214811,,8.96666666666667,-0.33813389217471335,0.5220139468561725,,,133717837005.061,12.1859748260976,23.82929266118099,1.3468666666666667,1.3407383333333334,1.3464455555555557,-0.008621330360460644,Small Appreciation
2005-10-03,1.3414,2005,3,10,-0.9997685019798909,0.021516097436222233,1.354857,,67.5168161434978,,20.42,10118952568.426,6786382792.42754,506308311476.63,8.805109256449121,1.3676780340875716,3.748105680963866,0.3944038357719263,0.03338940913600596,,9.86666666666667,-1.3714963476993047,1.1660879085277498,,,133717837005.061,12.1859748260976,23.82929266118099,1.3457633333333334,1.3406783333333332,1.3459555555555556,-0.007753093782615128,Small Appreciation
2005-10-04,1.349,2005,4,10,-0.9992500112396835,0.03872228089217399,1.354857,,67.5168161434978,,20.42,10118952568.426,6786382792.42754,506308311476.63,8.805109256449121,1.3676780340875716,3.748105680963866,0.3944038357719263,0.03338940913600596,,9.86666666666667,-1.3714963476993047,1.1660879085277498,,,133717837005.061,12.1859748260976,23.82929266118099,1.3453033333333335,1.3408366666666667,1.3457833333333333,-0.01519644180874724,Small Appreciation
