Date,INR,sin_DoY,Inflation (CPI) %,Ave Monthly USD FX Rate,Lending Interest Rate %,Exports(USD),Imports (USD),NY.GDP.MKTP.CD,Real Interest Rate(%),Foreign Exchange Reserves(%),Domestic Credit to GDP,Trade Openness,FDI(%GDP),Current Account(%GDP),Capital Formations(USD),Gov Consumption Expendature (%GDP),GDP % Growth,INR_30_ave,INR_60_ave,INR_90_ave,MoY_is_1,MoY_is_2,MoY_is_3,MoY_is_4,MoY_is_5,MoY_is_6,MoY_is_7,MoY_is_8,MoY_is_9,MoY_is_10,MoY_is_11,MoY_is_12,INR_classifier
1981-03-10,8.23,0.9209712877166346,10.4996248223591,8.21085481739761,16.5,674594804.461,1540278117.353,193490610032.1,6.000375177640899,3.023402530504962,0.3774826726508595,0.0114469271736057,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.197666666666667,8.067833333333333,7.977444444444445,0,0,1,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-03-11,8.16,0.9275416835791966,10.4996248223591,8.21085481739761,16.5,674594804.461,1540278117.353,193490610032.1,6.000375177640899,3.023402530504962,0.3774826726508595,0.0114469271736057,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.203666666666667,8.071,7.982777777777777,0,0,1,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-03-12,8.18,0.9338372288229252,10.4996248223591,8.21085481739761,16.5,674594804.461,1540278117.353,193490610032.1,6.000375177640899,3.023402530504962,0.3774826726508595,0.0114469271736057,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.208666666666668,8.074833333333334,7.987888888888889,0,0,1,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-03-13,8.23,0.9398560579418954,10.4996248223591,8.21085481739761,16.5,674594804.461,1540278117.353,193490610032.1,6.000375177640899,3.023402530504962,0.3774826726508595,0.0114469271736057,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.214666666666666,8.08,7.993555555555556,0,0,1,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-03-16,8.23,0.9562348265919056,10.4996248223591,8.21085481739761,16.5,674594804.461,1540278117.353,193490610032.1,6.000375177640899,3.023402530504962,0.3774826726508595,0.0114469271736057,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.22,8.084166666666667,7.999222222222223,0,0,1,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-03-17,8.2,0.9611297838723007,10.4996248223591,8.21085481739761,16.5,674594804.461,1540278117.353,193490610032.1,6.000375177640899,3.023402530504962,0.3774826726508595,0.0114469271736057,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.223333333333334,8.087666666666667,8.004555555555555,0,0,1,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-03-18,8.21,0.9657399376548548,10.4996248223591,8.21085481739761,16.5,674594804.461,1540278117.353,193490610032.1,6.000375177640899,3.023402530504962,0.3774826726508595,0.0114469271736057,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.223666666666666,8.0915,8.01,0,0,1,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-03-19,8.23,0.9700639218515072,10.4996248223591,8.21085481739761,16.5,674594804.461,1540278117.353,193490610032.1,6.000375177640899,3.023402530504962,0.3774826726508595,0.0114469271736057,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.226333333333335,8.095833333333333,8.01588888888889,0,0,1,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-03-20,8.23,0.9741004551724204,10.4996248223591,8.21085481739761,16.5,674594804.461,1540278117.353,193490610032.1,6.000375177640899,3.023402530504962,0.3774826726508595,0.0114469271736057,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.23,8.1005,8.021777777777778,0,0,1,0,0,0,0,0,0,0,0,0,Low Crash Confidence
1981-03-23,8.28,0.9844738167520922,10.4996248223591,8.21085481739761,16.5,674594804.461,1540278117.353,193490610032.1,6.000375177640899,3.023402530504962,0.3774826726508595,0.0114469271736057,0.0,-0.3625822983672443,38441270710.3635,9.62616589253244,3.845566441266723,8.234333333333334,8.106666666666667,8.028,0,0,1,0,0,0,0,0,0,0,0,0,Low Crash Confidence
